nombre_artista,album,fecha,tipo,track
Kiko y Shara,Carácter Latino Classic 2017,2017-06-23,track,Si me amas
Lucas Masciano,Live,2017-07-15,track,Dos Días - live
Sweet California,Ñ: El disco del año (2017),2017-12-01,track,Ay Dios mío!
The New Raemon,Quema la Memoria,2017-05-12,track,Hágase Tu Voluntad
Sidecars,Ñ: El disco del año (2017),2017-12-01,track,Tu mejor pesadilla
3LAU,On My Mind,2017-04-28,track,On My Mind
Juanes,Zapeando El Verano (Todos Los Éxitos Del Programa),2017-06-23,track,El Ratico
Rosana,Carácter Latino Classic 2017,2017-06-23,track,En la memoria de la piel
Alex Ubago,Ñ: El disco del año (2017),2017-12-01,track,Míranos
Mikel Erentxun,Ñ: El disco del año (2017),2017-12-01,track,Cicatrices
Sweet California,3 (Ladies' Night Tour Edition),2017-09-01,track,Hey Mickey - Live Wizink Center Madrid
Sweet California,3 (Ladies' Night Tour Edition),2017-09-01,track,Cadillac - Live Wizink Center Madrid
